date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:47	185/185	---MC-	200	added ('OK')	text/plain	date:Thu,%2002%20Mar%202023%2017:51:47%20GMT	https://lifelinewisdomdental.com.au/robots.txt		(from )
23:21:50	153637/153637	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:51:47%20GMT	https://lifelinewisdomdental.com.au/	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/index.html	(from )
23:21:52	3015/3015	---M--	200	added ('OK')	image/png	etag:%226af6decc6776c7ee%22	https://i0.wp.com/lifelinewisdomdental.com.au/wp-content/uploads/2021/12/logo-ico.png?fit=72%2C100&ssl=1	C:/My%20Web%20Sites/lifeline-clone/i0.wp.com/lifelinewisdomdental.com.au/wp-content/uploads/2021/12/logo-icod5fe.png	(from https://lifelinewisdomdental.com.au/)
23:21:53	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2002%20Mar%202023%2017:51:53%20GMT	https://lifelinewisdomdental.com.au/xmlrpc.php	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/xmlrpc.1.delayed	(from https://lifelinewisdomdental.com.au/)
23:21:56	21850/21850	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Dec%202021%2016:01:45%20GMT	https://lifelinewisdomdental.com.au/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=6.11.9	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslidera20b.css	(from https://lifelinewisdomdental.com.au/)
23:21:56	11534/11534	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2010%20Oct%202022%2002:29:38%20GMT	https://lifelinewisdomdental.com.au/comments/feed/	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/comments/feed/index.html	(from https://lifelinewisdomdental.com.au/)
23:21:57	20819/20819	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2010%20Oct%202022%2002:29:38%20GMT	https://lifelinewisdomdental.com.au/feed/	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/feed/index.html	(from https://lifelinewisdomdental.com.au/)
23:21:57	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:51:55%20GMT	https://lifelinewisdomdental.com.au/events/?ical=1	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/events/indexedf3.html	(from https://lifelinewisdomdental.com.au/)
23:21:58	849/849	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2010%20Oct%202022%2002:29:38%20GMT	https://lifelinewisdomdental.com.au/home/feed/	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/home/feed/index.html	(from https://lifelinewisdomdental.com.au/)
23:22:00	11256/11256	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Sep%202020%2002:23:06%20GMT	https://lifelinewisdomdental.com.au/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://lifelinewisdomdental.com.au/)
23:22:01	4186/4186	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Jun%202019%2007:15:02%20GMT	https://lifelinewisdomdental.com.au/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.1.1	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/wp-includes/js/mediaelement/wp-mediaelement.min6a4d.css	(from https://lifelinewisdomdental.com.au/)
23:22:03	10435/10435	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202023%2006:13:00%20GMT	https://lifelinewisdomdental.com.au/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.4.4	C:/My%20Web%20Sites/lifeline-clone/lifelinewisdomdental.com.au/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style556e.css	(from https://lifelinewisdomdental.com.au/)
